toys,computer animation,pixar animation,kids and family,animation
road trip,disability,feel-good,sarcasm,good soundtrack
mockumentary,parody,comedy,music,satire
russian,music,cartoon,musical,animation
narrated,visually appealing,visually stunning,stunning,nature
amazing photography,documentary,narrated,series,life
politics,biopic,political,president,race issues
stand-up comedy,existentialism,comedy,special,honest
horror,supernatural,haunted house,demons,creepy
political,politics,world politics,social commentary,documentary
mars,space travel,astronauts,space,scifi
rags to riches,biographical,biopic,sports,biography
murder,crime,police investigation,murder mystery,investigation
remake,ghosts,women,original,visually appealing
based on a book,adapted from:book,zombies,zombie,original
espionage,comedy,spying,bullying,buddy movie
race issues,crime,documentary,murder,storytelling
writing,biographical,writers,biopic,based on a book
espionage,assassin,spying,action,chase
documentary,mentor,obsession,original,storytelling
documentary,book,books,capitalism,original
jungle,africa,action,adventure,lions
political,violence,survival,franchise,politics
comedy,wedding,silly fun,hawaii,hilarious
animation,franchise,computer animation,animated,animals
horror,supernatural,creepy,ghosts,suspense
dragons,family,remake,adventure,magic
jewish,anti-semitism,new jersey,jews,1950s
story,drama,independent film,original,mentor
zombies,zombie,splatter,virus,apocalypse
bank robbery,heist,investigation,crime,corruption
based on a tv show,fashion,transgender,pornography,nudity (topless - notable)
pixar animation,animation,cute,birds,animated
loneliness,imagination,melancholic,visually stunning,storytelling
animation,animated,family,documentary,disney
poland,religion,jews,hospital,islam
internet,teen movie,technology,teen,teenager
true story,based on a true story,based on true story,drama,dramatic
social commentary,russia,political,school,gay
dysfunctional family,melancholic,emotional,drama,family drama
politics,stand-up comedy,political,greed,jesus
surreal,surrealism,weird,lynch,dark
bollywood,tragedy,love story,fight scenes,emotional
undercover cop,drugs,biographical,based on true story,crime
true story,based on true story,based on a true story,arms dealer,corruption
love,weird,cult film,art house,witch
graphic novel,batman,animation,dc comics,vigilante
comedy,parenthood,foul language,women,single father
bank robbery,crime,texas,heist,great acting
drama,future,president,biographical,original
unlikely friendships,family bonds,adolescence,independent film,intimate
fantasy,video game,based on a video game,adapted from:game,cgi
tense,horror,suspenseful,suspense,intense
shark,survival,boat,suspenseful,so bad it's funny
male nudity,gay,pornography,homosexuality,murder
shark,las vegas,franchise,sequel,silly fun
teen movie,coming of age,teenager,adolescence,coming-of-age
world war ii,wwii,nazi,nazis,assassination
father daughter relationship,action,gunfight,good action,chase
rape,sexualized violence,oscar (best actress),weird,psychological
apocalypse,zombies,zombie,action,survival
horror,supernatural,internet,creepy,scary
virus,apocalypse,zombie,mentor,predictable
assassin,action,good action,sequel,hitman
stand-up comedy,original,great acting,highly quotable,off-beat comedy
remake,western,gunfight,action,revenge
action,hong kong,fight scenes,kung fu,comedy
oscar (best picture),coming of age,oscar,loneliness,bullying
investigation,kidnapping,dark,crime,suspense
comedy,true story,based on a true story,based on true story,heist
stop motion,storytelling,visually appealing,stop-motion,story
romantic comedy,chick flick,romantic,girlie movie,comedy
drama,based on a book,heartbreaking,tragedy,cinematography
android(s)/cyborg(s),sci-fi,scifi,genetics,science fiction
chess,inspiring,based on true story,africa,true story
true story,based on a true story,natural disaster,disaster,based on true story
time loop,based on a book,dark fantasy,fantasy world,fantasy
based on a book,train,based on book,police investigation,adapted from:book
action,assassin,hit men,good action,hitman
biopic,immortality,melancholic,life,biography
surprise ending,murder,courtroom,twist ending,lawyer
road movie,road trip,long,coming-of-age,innocence lost
terrorism,conspiracy,tense,neo-nazis,social commentary
office,original,road movie,music,good soundtrack
stand-up comedy,chase,great ending,melancholic,suspenseful
serial killer,supernatural,based on a book,based on book,obsession
series,time travel,anime,melancholic,love
coming-of-age,coming of age,adolescence,independent film,women
japan,tokyo,japanese,political,satire
cartoon,hunting,cross dressing,rabbits,animation
animation,cartoon,russian,animated,original
life & death,redemption,cancer,fight scenes,terminal illness
cartoon,animation,russian,rabbits,animated
tokyo,anime,japan,storytelling,bittersweet
animation,russian,cartoon,animated,original
loneliness,independent film,small town,lawyer,criterion
drama,cancer,political,storytelling,melancholic
art,artist,criterion,lynch,cerebral
war,best war films,true story,oscar (best directing),wwii
gay character,cancer,dysfunctional family,gay,dramatic
original,family,franchise,series,biographical
weird,animation,dark,melancholic,cartoon
animation,animated,animals,russian,cartoon
iraq war,war,iraq,destiny,war movie
sequel,supernatural,horror,original,scary
family drama,dysfunctional family,cancer,family,small town
beatles,documentary,segregation,musicians,rock and roll
genocide,us history,islam,history,historical
love,marriage,love story,court,relationships
depression,loneliness,suicide,mental illness,downbeat
splatter,zombie,clowns,horror,apocalypse
time loop,scifi,sci-fi,post-apocalyptic,time travel
documentary,animation,original,visually appealing,suspense
spying,technology,internet,predictable,surveillance
original,sci fi,franchise,scifi,sequels
magic,based on book,witch,based on a book,witches
terminal illness,imagination,dark fantasy,coming of age,cancer
alien,aliens,cerebral,science fiction,time loop
animation,animated,talking animals,family,kids and family
japan,tokyo,foreign,life,loneliness
drama,weird,life,tragedy,dialogue driven
apocalypse,zombies,virus,zombie,post-apocalyptic
argentina,sarcasm,dark humor,dark comedy,original
stop motion,animation,animated,stop-motion,loneliness
murder,crime,fake documentary,investigation,police investigation
conspiracy,space program,nasa,conspiracy theory,espionage
rock and roll,musicians,music,documentary,great music
girlie movie,teen movie,high school,teens,teen
monsters,monster,drinking,small town,original
dialogue driven,relationships,melancholic,bittersweet,loneliness
music,jazz,bittersweet,dreams,dancing
slavery,documentary,politics,prison,segregation
irish,united nations,war,irish accent,based on a true story
suspense,original,intense,existentialism,complex
oscar (best foreign language film),foreign,drama,social commentary,iran
espionage,spying,spies,wartime,spy
monsters,monster,horror,mother daughter relationship,suspense
baseball,sports,documentary,boston,history
nudity (full frontal - brief),brutality,incest,brutal,violent
based on a book,book,adapted from:book,treasure hunt,based on book
spying,espionage,spies,spy,comedy
horror,supernatural,haunted house,prequel,creepy
mockumentary,original,comedy,funny,weird
kids and family,computer animation,family,animation,kids
superhero,super hero,superheroes,alien,super-hero
rock and roll,mentor,documentary,great music,musicians
holocaust,based on a true story,based on true story,true story,genocide
transgender,remake,original,musical,horrible
conspiracy,based on a book,action,espionage,assassin
western,violence,gunfight,revenge,vengeance
propaganda,social commentary,brainwashing,documentary,justice
stand-up comedy,comedy,funny,murder,original
documentary,antarctica,very interesting,original,obsession
cancer,drama,friendship,heartwarming,feel-good
environment,global warming,documentary,oil,environmental
melancholic,great acting,oscar (best actor),depression,drama
adoption,true story,based on true story,based on a true story,heartwarming
original,weird,cinematography,storytelling,narrated
horror,supernatural,creepy,suspense,original
short,too short,suspense,marvel,dark hero
coming of age,gay,coming-of-age,amazing cinematography,queer
christmas,holiday,mother-son relationship,sequels,original
sex,funny,comedy,very funny,stupidity
marvel,pg-13,superheroes,good action,big budget
death,life & death,cancer,drama,love
assassin,comedy,action,assassination,goofy
cartoon,animation,animals,russian,animated
fairy tale,adventure,animation,story,fairy tales
fighting the system,politics,manipulation,conspiracy,islam
gangster,heist,crime,pointless,pulp
intense,suspense,great acting,oscar,original
politics,based on a true story,africa,segregation,true story
cartoon,animation,russian,kids,dog
bullying,anime,melancholic,drama,friendship
animation,oscar (best animated feature),mythology,adventure,disney animated feature
biopic,oscar (best actress),biographical,original,dramatic
holiday,comedy,christmas,free to download,office
mars,astronauts,scifi,love story,futuristic
space opera,rebellion,star wars,space,prequel
kidnapping,twist,psychological,twists & turns,obsession
gangster,organized crime,boston,mob,gangsters
psychology,psychological,twist ending,suspenseful,tense
werewolves,vampires,vampire,supernatural,action
world politics,political,politics,political corruption,corruption
space travel,sci-fi,space,science fiction,scifi
space program,segregation,nasa,biographical,race issues
horror,haunted house,creepy,suspense,weird
drama,based on a play,great acting,oscar (best actress),dialogue driven
sports,biopic,biography,inspirational,based on true story
weird,male nudity,cult film,splatter,absurd
coming of age,adolescence,coming-of-age,women,melancholic
monsters,action,fantasy,mythology,cgi
visually appealing,magic realism,loneliness,unlikely friendships,storytelling
biopic,biographical,business,based on true story,rags to riches
comedy,hilarious,foul language,pornography,crude humor
oscar (best animated feature),animals,talking animals,animation,family
segregation,history,documentary,narrated,racism
love,documentary,artist,loneliness,animal movie
video game adaptation,based on a video game,assassin,video game,action
dog,dogs,heartwarming,touching,emotional
bollywood,biopic,based on true story,sports,father daughter relationship
stand-up comedy,funny,very funny,fun movie,life philosophy
boston,bombs,islam,terrorism,gunfight
greed,based on a true story,rags to riches,based on true story,true story
sexy,cult film,original,cinematography,comedy
great ending,enigmatic,weird,storytelling,original
animation,paris,friendship,ballet,mentor
comedy,school,high school,foul language,funny
monsters,monster,kids,natural disaster,so bad it's funny
undercover cop,kidnapping,police corruption,chase,drugs
cinematography,mystery,weird,horror,creepy
feel-good,true story,based on true story,based on a true story,addiction
action,good action,action packed,franchise,sequel
supernatural,horror,horrible,bad acting,so bad it's funny
superheroes,batman,animation,super hero,superhero
cartoon,cross dressing,animation,classical music,rabbits
france,germany,paris,great acting,colourful
plot twist,suspenseful,twists & turns,spanish,thriller
irish,drugs,based on true story,based on a true story,ireland
marvel,short,too short,action,good action
horror,death,remake,sequel,supernatural
cannibalism,horror,weird,visceral,splatter
assassin,hit men,action,gunfight,hitman
race issues,horror,social commentary,tense,suspense
superhero,super hero,superheroes,mutants,based on a comic
stranded,island,action,visually appealing,monster
sequel,drug addiction,good sequel,original,sequels
time loop,based on a book,teenager,death,teen movie
splatter,bloody,violence,gore,survival
interracial romance,relationships,romantic comedy,romance,comedy
loneliness,social commentary,women,relationships,original
coen bros,dark humor,violence,independent film,drama
medieval,king arthur,action,mythology,storytelling
martial arts,bollywood,gangsters,fight scenes,visceral
emma watson,fairy tale,remake,visually appealing,magic
single father,family,halloween,comedy,pg-13
animation,kids,animated,cartoon,family
superheroes,superhero,super hero,dc comics,comics
visually appealing,love,obsession,romance,adapted from:book
video game adaptation,virus,based on a video game,action,apocalypse
superhero,superheroes,super hero,vigilante,good soundtrack
wwii,war,based on a book,oscar (best directing),original
loneliness,meditative,melancholic,afterlife,existentialism
android(s)/cyborg(s),dystopic future,cyberpunk,cyborgs,futuristic
stand-up comedy,special,hilarious,original,comedy
horror,twist,women,too short,suspense
bdsm,based on a book,sex,erotic,book
comedy,depression,adoption,whimsical,suburbia
alien,aliens,alien invasion,sci-fi,first contact
finnish,criterion,loneliness,existentialism,golden palm
christmas,holiday,short,original,mentor
psychological,australian,suspenseful,tense,thriller
cinematography,meditative,visually appealing,visually stunning,art house
touching,drama,mental illness,dysfunctional family,doctors
gay,loneliness,queer,intimate,criterion
transgender,oscar (best foreign language film),family,tense,foreign
surreal,narrated,weird,existentialism,melancholic
anime,action,animation,cyberpunk,video game
original,death,family,justice,runaway
splatter,horror,small town,weird,cult
wartime,england,british,london,world war ii
loneliness,sex,bleak,cinematography,adultery
enigmatic,supernatural,ghosts,weird,criterion
god,religion,christian,biblical,jesus
alien,space,astronauts,mars,scifi
jungle,obsession,biopic,cinematography,true story
drugs,superhero,goofy,death,brutality
drama,crime,social commentary,great acting,murder
drama,storytelling,great acting,oscar (best directing),good
surreal,surrealism,hotel,independent film,cerebral
super hero,superhero,superheroes,action,teen movie
alien,aliens,space,space travel,alien invasion
gunfight,guns,violence,arms dealer,dark humor
murder mystery,original,life & death,murder,death
stand-up comedy,comedy,funny,original,awful
dark comedy,terminal illness,original,intimate,black comedy
based on a book,complex,original,mental illness,homeless
stand-up comedy,doctors,funny,political,original
lynch,weird,noir,los angeles,twists & turns
stand-up comedy,race issues,special,transgender,funny
male nudity,chase,los angeles,police,parenthood
wedding,comedy,romantic comedy,ensemble cast,feel-good
comedy,bank robbery,heist,caper,feel-good
solitude,loneliness,melancholic,existentialism,meditative
stand-up comedy,race issues,special,funny,comedy
dark humor,tense,suspense,brutality,storytelling
russian,animation,animated,musical,cartoon
animation,computer animation,kids,family,cartoon
afterlife,time loop,suicide,life & death,science fiction
surreal,surrealism,weird,short,original
holocaust,world war ii,poland,jews,nazis
math,mathematics,school,family bonds,touching
war,best war films,wwii,drama,world war ii
super hero,superheroes,superhero,dc comics,graphic novel
stand-up comedy,funny,social commentary,special,comedy
bullying,suicide,drama,high school,teen movie
guilt,vigilante,tragedy,drama,death
dog,cartoon,animation,russian,dogs
teen,teen movie,love,teens,teenager
lynch,enigmatic,original,golden palm,criterion
space,russian,drama,fun movie,good action
based on a tv show,comedy,parody,silly,male nudity
suspenseful,murder,women,suspense,divorce
comedy,funny,crude humor,predictable,adventure
mummy,egypt,action,archaeology,big budget
action,franchise,car chase,racing,cars
martial arts,kung fu,fight scenes,mentor,hong kong
los angeles,good soundtrack,original,new jersey,stupid as hell
documentary,business,greed,biographical,complex
based on a book,animation,based on book,books,adapted from:book
music,marriage,depression,indie,independent film
horror,suspenseful,paranoia,tense,apocalypse
dog,military,iraq,animal movie,touching
based on a book,period piece,obsession,adapted from:book,love
racing,cars,sequel,pixar animation,computer animation
relationships,art,melancholic,family,depression
virus,action,zombies,violence,video game
child abuse,parenthood,betrayal,mentor,original
narrated,visual,masterpiece,photography,visually appealing
japan,anime,melancholic,wartime,intimate
israel,desert,violence,greed,iraq war
bullying,boarding school,friendship,gay,school
original,enormously long battle scene,action,predictable,science fiction
spanish,latin america,family,very funny,drama
original,spain,movielens top pick,road trip,pornography
original,unlikely friendships,friendship,quirky,indie
war,iraq,best war films,military,war movie
horror,supernatural,weird,creepy,psychological
espionage,terrorism,spying,spy,betrayal
science,documentary,social commentary,space,visually appealing
high school,original,teenager,obsession,supernatural
coming of age,violence,drama,adolescence,pornography
indians,mythology,bollywood,cinematography,love story
documentary,rock and roll,original,cult classic,great movie
complex,storytelling,plot twist,clever,weird
bollywood,hospital,doctors,great acting,cancer
women,based on a book,civil war,stylized,original
heist,music,crime,stylish,action
animals,emotional,original,weird,social commentary
comedy,bdsm,drinking,strippers,funny
british comedy,murder,original,parody,comedy
psychology,brutality,sexual abuse,psychological,cinematography
hip hop,independent film,new jersey,feel-good,music
russia,criterion,foreign,brutality,bleak
fight scenes,kung fu,original,technology,great movie
california,depression,dark comedy,pornography,loneliness
political,politics,documentary,political corruption,world politics
action,family,pg-13,male nudity,big budget
animation,franchise,kids and family,family,comedy
christmas,great ending,holiday,russian,greed
animation,cartoon,russian,animated,based on a book
animation,animated,russian,animals,cartoon
animation,cartoon,russian,talking animals,family
cartoon,animation,russian,musical,original
male nudity,oscar (best directing),fight scenes,animal movie,death
russian,vengeance,justice,love,family
documentary,sexual,doctors,sex,good soundtrack
original,depression,pornography,drinking,family
cartoon,animation,russian,original,storytelling
greed,drama,crime,corruption,biopic
anime,weird,imagination,visually appealing,animation
anime,very interesting,original,powerful ending,stylish
anime,animation,visually stunning,fight scenes,computer animation
anime,short,stylish,dreams,powerful ending
anime,stylish,original,visual,dystopic future
cartoon,oscar (best directing),great ending,good,original
futuristic,robots,anime,visually stunning,cyborgs
desert,weird,post-apocalyptic,post apocalyptic,cannibalism
war,humanity,trilogy,dystopia,original
kidnapping,chase,car chase,suspense,police
surreal,weird,surrealism,art,artistic
original,mentor,pornography,california,underrated
original,talky,quirky,intimate,criterion
politics,war,military,satirical,islam
runaway,original,loneliness,family,solitude
space opera,sci-fi,visually stunning,space,visually appealing
original,golden palm,visual,highly quotable,imdb top 250
tense,original,character study,insanity,bleak
stand-up comedy,comedy,high school,funny,indians
stand-up comedy,special,life & death,social commentary,political
twist ending,twist,suspense,plot twist,twists & turns
original,drama,oscar (best directing),adventure,imdb top 250
small town,crime,drama,dark humor,bank robbery
original,chase,drama,future,dystopic future
psychological,relationships,weird,intimate,original
espionage,spies,stylish,spying,action
mentor,fight scenes,good sequel,original,comedy
70mm,best war films,war,cinematography,tense
animation,animated,anime,erotic,weird
murder,investigation,corruption,sexual abuse,crime
los angeles,dog,chase,action,gangsters
horror,murder,slasher,serial killer,suspense
alien,aliens,sci-fi,genocide,short
puppets,weird,creativity,off-beat comedy,satire
puppets,original,great ending,off-beat comedy,talky
teen movie,original,chase,death,suspense
robots,franchise,giant robots,action,big budget
oscar (best supporting actor),crime,tense,heist,brothers
comedy,funny,casino,foul language,parody
powerful ending,life philosophy,brutality,suspense,great movie
time loop,bollywood,murder,visually appealing,original
heist,caper,brothers,robbery,small town
documentary,cancer,animals,family,environment
fantasy world,based on a book,original,predictable,fantasy
horror,scary,prequel,supernatural,creepy
action,surveillance,bombs,chase,original
runaway,greed,original,criterion,harsh
mockumentary,parody,sports,original,funny
original,scary,small town,suspense,horror
musical,russian,animation,cartoon,animated
animation,weird,cult classic,dark humor,original
animation,predictable,horrible,product placement,animated
remake,original,death,anime,horrible
murder mystery,investigation,native americans,drama,murder
prison,crime,great acting,drama,powerful ending
death,horror,teen movie,teen,high school
women,comedy,friendship,funny,drinking
history,segregation,historical,brutality,race issues
action,assassin,action packed,good action,fast paced
small town,relationships,drama,meditative,indie
adapted from:book,girlie movie,romance,adultery,love
gangsters,silly fun,predictable,original,so bad it's funny
original,animation,animal movie,animated,fight scenes
fairy tale,magic,hip hop,sequel,musical
original,drugs,survival,wilderness,brutality
swedish,drama,weird,criterion,storytelling
drama,great acting,dramatic,claustrophobic,original
action,mentor,pg-13,sequel,spying
family,visually appealing,gunfight,fast paced,original
original,death,remake,chase,predictable
animation,gay,cute,love,short
girlie movie,teen movie,school,teenager,teen
cheating,suspenseful,mentor,original,school
original,based on a book,drama,survival,catastrophe
visually appealing,original,social commentary,future,oscar (best effects - visual effects)
weird,original,surreal,intense,cinematography
documentary,sports,world politics,olympics,russia
original,future,memory,independent film,greed
original,destiny,fantasy world,parallel universe,predictable
drama,biographical,life philosophy,bollywood,girlie movie
murder,serial killer,investigation,suspense,detective
horror,cult,original,creepy,brothers
time loop,remake,bad acting,comedy,romantic comedy
original,storytelling,great ending,great acting,oscar (best directing)
original,predictable,police investigation,chase,investigation
batman,superhero,super hero,super-hero,superheroes
based on true story,drugs,latin america,fast paced,based on a true story
surreal,weird,original,cinematography,visually appealing
terrorism,london,islam,mentor,spying
murder mystery,detective,murder,investigation,police investigation
original,weird,mentor,gay character,whimsical
assassin,action,fight scenes,violence,assassination
original,death,great ending,twist,mentor
fight scenes,death,gunfight,chase,revenge
original,chase,natural disaster,catastrophe,predictable
torture,death,franchise,gore,blood
maze,original,weird,quirky,whimsical
memory,murder mystery,sci fi,sci-fi,scifi
original,oscar,family,family drama,cinematography
original,catastrophe,mentor,predictable,girlie movie
girlie movie,original,drama,mentor,based on true story
drama,original,based on a true story,family,destiny
based on a true story,based on true story,true story,original,corruption
drama,biographical,original,girlie movie,great ending
horror,comedy,cult,dark comedy,dark humor
depression,original,great ending,drama,mentor
social commentary,drama,oscar (best actress),original,oscar
chase,assassin,betrayal,action,original
original,drama,honest,good acting,coming of age
amazing cinematography,original,friendship,loneliness,cinematography
psychological,surreal,weird,psychology,enigmatic
original,pg-13,based on a book,mentor,plot
heartwarming,original,animation,visually stunning,redemption
coen bros,original,crime,pornography,drama
pornography,original,classic car,mentor,teen movie
sports,mentor,history,original,good soundtrack
indians,islam,biographical,biopic,england
stand-up comedy,original,destiny,pornography,pg-13
original,off-beat comedy,affectionate,mentor,runaway
oscar,original,drama,dark humor,oscar (best directing)
surreal,surrealism,criterion,weird,dreamlike
music,original,space program,intimate,classic car
supernatural,pornography,original,thriller,weird
original,goofy,absurd,predictable,death
character study,original,pornography,social commentary,great movie
stupid as hell,splatter,franchise,horror,sequel
horror,death,original,weird,chase
original,murder,suspense,intense,death
stand-up comedy,comedy,special,hilarious,funny
horror,adapted from:book,death,weird,based on a book
family,animation,original,talking animals,childhood
murder mystery,original,great ending,pornography,mentor
anime,future,original,science fiction,sequel
horror,death,original,wilderness,murder
original,dark humor,witty,social commentary,greed
art,artistic,visually appealing,artist,animation
storytelling,original,imdb top 250,oscar (best directing),great ending
bdsm,relationships,love,mentor,superhero
whimsical,original,artistic,dreams,light
cartoon,classical music,masterpiece,opera,animation
violence,violent,brutality,brutal,prison
vengeance,revenge,original,good soundtrack,action
pornography,original,drama,surveillance,grindhouse
splatter,slasher,police investigation,girlie movie,friendship
disability,love story,original,mentor,catastrophe
serial killer,teen movie,coming of age,coming-of-age,adolescence
space,astronauts,historical,space program,mars
drama,based on true story,original,oscar (best directing),based on a true story
original,drama,brutality,scary,good soundtrack
relationships,drama,melancholic,intense,hospital
action,comedy,mentor,original,chase
scifi,sci-fi,technology,virtual reality,sci fi
samurai,japan,violent,tokyo,action
chase,fast paced,car chase,suspense,foul language
stand-up comedy,humor,melancholic,original,superheroes
gory,violence,brutality,violent,good soundtrack
women,original,cinematography,death,criterion
sequel,serial killer,sequels,original,creepy
intense,great acting,political,dramatic,based on a true story
unlikely friendships,drama,touching,dramatic,original
israel,lawyer,drama,mentor,great acting
history,war,wwii,politics,us history
space opera,pg-13,action,visually appealing,original
original,death,thriller,murder,suspense
satirical,original,satire,future,social commentary
finnish,war,war movie,melancholic,realistic
christmas,holiday,comedy,family,funny
german,drama,intense,germany,revenge
dark fantasy,fantasy,visually stunning,social commentary,original
assassin,action,assassination,hitman,action packed
drama,intense,dialogue driven,organized crime,original
scifi,robots,sci-fi,plot holes,bad acting
children,friendship,mentor,touching,family
holiday,christmas,comedy,sequel,pg-13
adaptation,adapted from:book,based on a book,based on book,maze
original,interesting,weird,social commentary,thought-provoking
original,biographical,friendship,comedy,mentor
coming of age,mentor,runaway,original,coming-of-age
politics,original,mentor,conspiracy,corruption
original,blood,violence,weapons,nudity (topless)
original,melancholic,bollywood,relationships,mentor
christmas,holiday,romance,romantic comedy,family
mentor,original,pg-13,family,catastrophe
animals,animation,family,friendship,kids
original,good,very interesting,drama,excellent script
weird,original,criterion,character study,obsession
stop motion,parody,spoof,star wars,suspense
holiday,christmas,too short,family,short
animation,family,original,weird,talky
sports,bollywood,india,british,london
weird,grindhouse,visually appealing,anime,original
social commentary,dystopic future,dystopia,original,visually appealing
girlie movie,fun movie,life philosophy,romantic comedy,mentor
original,visually appealing,cerebral,drama,tense
social commentary,original,interesting,mentor,great ending
social commentary,foreign,storytelling,complex characters,dramatic
original,chase,family,male nudity,mentor
action,original,fantasy world,social commentary,fantasy
based on a true story,based on true story,original,greed,good
chase,original,predictable,action,idiotic
suspenseful,suspense,gunfight,secrets,brutality
original,action,conspiracy,chase,mentor
based on true story,true story,women,islam,based on a true story
depression,runaway,greed,drama,criterion
stand-up comedy,original,honest,weird,powerful ending
stand-up comedy,original,powerful ending,social commentary,honest
original,supernatural,mentor,scary,chase
original,coming of age,women,pg-13,drama
fun movie,pornography,gunfight,good action,chase
espionage,original,mentor,chase,adapted from:book
documentary,original,visually appealing,great acting,imdb top 250
weird,criterion,loneliness,great acting,pornography
gunfight,vengeance,storytelling,fun movie,oscar (best directing)
based on true story,original,good soundtrack,silly fun,girlie movie
bdsm,erotic,based on a book,teen movie,franchise
runaway,powerful ending,affectionate,original,road movie
original,action,chase,comedy,violence
original,cinematography,weird,good soundtrack,brutality
death,drama,crime,suspense,gunfight
action,pg-13,mentor,sequel,maze
original,teen movie,pg-13,crude humor,action
biographical,suspense,original,imdb top 250,oscar (best directing)
original,women,survival,based on book,police investigation
original,action,betrayal,catastrophe,desert
relationships,girlie movie,life philosophy,mentor,feel-good
original,predictable,destiny,story,violence
cartoon,animation,original,family,animals
oscar,original,drama,cinematography,visually appealing
weird,stylized,surreal,original,vengeance
original,pornography,mentor,predictable,story
original,scary,suspense,dark,creepy
original,storytelling,good soundtrack,visually appealing,runaway
original,pg-13,storytelling,good soundtrack,silly fun
graphic novel,superheroes,nocturnal,superhero,dark hero
original,romantic comedy,notable nudity,great ending,mentor
original,future,brutality,sci-fi,violence
original,paranoia,interesting,creepy,brutality
supernatural,teen movie,ghosts/afterlife,original,ghosts
original,revenge,crime,twist,survival
original,mentor,silly fun,children,animals
original,science fiction,predictable,sci-fi,great ending
original,good,corruption,excellent script,great movie
original,coming of age,good soundtrack,runaway,adolescence
pornography,stand-up comedy,original,teens,teen movie
action,chase,pg-13,original,predictable
original,fun movie,goofy,good soundtrack,greed
weird,depression,original,surreal,drama
family,silly fun,original,fairy tale,weird
demons,original,chase,finnish,atheism
action,chase,revenge,fight scenes,pg-13
family,original,predictable,fantasy,based on a book
teen movie,mentor,coming of age,family,good soundtrack
original,catastrophe,mentor,women,adaptation
family,original,predictable,romantic comedy,catastrophe
original,suspense,suspenseful,visually appealing,intense
visually stunning,original,visually appealing,drama,runaway
original,drama,school,fantasy world,great ending
criterion,brutality,pornography,sex,original
suspense,teen movie,original,serial killer,intense
so bad it's funny,original,chase,betrayal,heist
original,brutality,mental illness,fun movie,sexualized violence
original,sci fi,weird,futuristic,visually appealing
teen movie,catastrophe,girlie movie,romantic comedy,mentor
original,sexualized violence,predictable,police investigation,distopia
male nudity,original,pornography,notable nudity,predictable
stand-up comedy,chase,secrets,original,catastrophe
original,pornography,comedy,mentor,male nudity
pornography,original,weird,secrets,family
original,drama,independent film,light,death
girlie movie,teen movie,light,family,touching
action,visually appealing,pg-13,original,predictable
documentary,greed,great acting,original,excellent script
original,serial killer,violence,crime,brutality
creepy,scary,original,harsh,bleak
drama,criterion,brutality,intimate,runaway
predictable,original,chase,catastrophe,so bad it's funny
predictable,teenager,romantic comedy,pg-13,family
romantic comedy,friendship,girlie movie,family,runaway
mentor,pg-13,drama,based on true story,girlie movie
romantic comedy,runaway,chase,love,original
original,obsession,wilderness,mentor,bollywood
action,video game,original,so bad it's funny,predictable
social commentary,criterion,idealism,greed,drama
idealism,politics,original,mentor,oscar
original,brutality,mentor,oscar (best supporting actress),destiny
original,drama,oscar (best actress),destiny,quirky
original,good,great acting,excellent script,twists & turns
action,pg-13,anime,visually appealing,original
documentary,original,storytelling,biographical,excellent script
action,franchise,pg-13,big budget,adventure
original,comedy,absurd,off-beat comedy,quirky
original,drama,storytelling,dark humor,cerebral
drama,original,cinematography,runaway,wilderness
original,depression,storytelling,family,runaway
stand-up comedy,chase,cult classic,great movie,original
animation,family,comedy,original,social commentary
absurd,action,dark humor,pg-13,comedy
space opera,action,visually appealing,space,pg-13
original,science fiction,memory,pornography,mentor
based on a book,original,pg-13,good,true story
teen,teen movie,teenager,finnish,original
original,heartwarming,great acting,honest,mentor
romantic comedy,original,teen movie,mentor,catastrophe
original,documentary,storytelling,hip hop,mentor
social commentary,weird,original,surreal,interesting
original,criterion,cinematography,photography,melancholic
pg-13,action,superheroes,marvel,technology
corruption,original,horror,violence,social commentary
drama,based on a true story,original,dark humor,biographical
original,family,comedy,predictable,monsters
action,original,family,predictable,chase
family,goofy,original,action,pg-13
teen movie,gunfight,stand-up comedy,runaway,girlie movie
original,good soundtrack,suspense,pornography,survival
melancholic,cinematography,runaway,relationships,criterion
original,investigation,pornography,great ending,good
original,weird,corruption,oscar (best directing),vengeance
pg-13,predictable,based on a book,remake,original
criterion,original,oscar (best foreign language film),storytelling,sexualized violence
betrayal,action,conspiracy,mentor,original
original,musical,family,good soundtrack,mentor
sequel,original,death,destiny,internet
social commentary,character study,great acting,oscar (best directing),golden palm
original,mentor,pg-13,plot,life philosophy
heartbreaking,social commentary,great acting,oscar (best actress),touching
storytelling,original,surreal,suspense,visually appealing
weird,original,visually appealing,cult classic,criterion
violence,gunfight,brutality,original,drama
drama,melancholic,pornography,based on true story,depression
original,plot twist,future,dystopia,suspense
original,gunfight,science fiction,future,good soundtrack
original,mentor,romantic comedy,good soundtrack,catastrophe
assassin,espionage,action,spying,franchise
action,pg-13,women,original,new york
pornography,gay character,original,drama,independent film
original,independent film,death,suspense,brutality
mentor,original,bollywood,fun movie,romantic comedy
original,chase,science fiction,scifi,catastrophe
social commentary,original,political,drama,suspense
original,family,friendship,good soundtrack,mentor
suspense,good soundtrack,touching,original,pg-13
fight scenes,original,family,predictable,action
family,animation,original,cartoon,good
suspense,original,great acting,powerful ending,social commentary
criterion,affectionate,blood,original,pornography
gore,slasher,suspense,splatter,original
vigilante,superheroes,humor,pg-13,original
